iter	RMSE
0	3006.709774
1	2884.990083
2	2767.914534
3	2660.706982
4	2557.766049
5	2457.544438
6	2364.308779
7	2278.464808
8	2192.325694
9	2112.624878
10	2032.292383
11	1955.180216
12	1887.541779
13	1822.077451
14	1759.974767
15	1699.844514
16	1643.7612
17	1593.474429
18	1543.040194
19	1495.184741
20	1441.688039
21	1391.0038
22	1350.485494
23	1308.86377
24	1270.824828
25	1233.073362
26	1198.637692
27	1165.765044
28	1133.818711
29	1096.178444
30	1060.879125
31	1030.587828
32	995.5909803
33	970.8269351
34	938.9957108
35	912.0373138
36	887.0162888
37	863.3505934
38	836.3581136
39	809.4059438
40	784.1737667
41	759.9135148
42	737.1784824
43	715.9220722
44	695.0864266
45	676.3564672
46	657.7089985
47	637.2088748
48	619.8454436
49	602.7904502
50	584.8528369
51	570.6393053
52	555.6743683
53	541.2253959
54	525.6529134
55	510.1258417
56	495.7175576
57	483.0670772
58	472.904251
59	462.4029249
60	449.563297
61	438.2987788
62	427.4521909
63	415.4678565
64	403.8813657
65	394.2331964
66	384.4642868
67	373.0464534
68	362.9806904
69	353.4439667
70	345.7694005
71	336.6473477
72	329.6887097
73	322.0382257
74	313.6040214
75	306.111526
76	298.7556238
77	291.3810283
78	285.6702006
79	278.4539686
80	272.0556147
81	266.2152787
82	261.4338737
83	255.822991
84	248.974377
85	243.8981413
86	237.6519003
87	233.2798025
88	228.7232072
89	223.4924158
90	218.653616
91	213.8140047
92	209.847151
93	206.2011526
94	201.72394
95	198.2081871
96	194.6401826
97	190.4864745
98	187.7078781
99	184.0375428
100	181.14821
101	177.6990759
102	175.0389019
103	171.9640026
104	169.375513
105	167.1176204
106	164.832636
107	162.0171092
108	159.2907013
109	157.2442899
110	154.9390472
111	152.8269434
112	150.7256647
113	148.6034584
114	146.6669319
115	144.9708469
116	142.843441
117	141.3824422
118	139.5538078
119	138.2344822
120	136.4652606
121	135.0646418
122	133.50398
123	132.1990175
124	130.9940202
125	129.5666734
126	128.1359683
127	127.0564572
128	125.8206156
129	124.619938
130	123.7461403
131	122.6347887
132	121.8008514
133	120.7143463
134	119.9403596
135	119.2344528
136	118.498801
137	117.6712074
138	116.8474406
