iter	Passed	Remaining
0	4	4577
1	8	4186
2	12	4058
3	15	3960
4	19	3952
5	23	3958
6	27	3941
7	31	3901
8	35	3861
9	38	3847
10	42	3854
11	46	3852
12	50	3850
13	54	3823
14	58	3824
15	61	3810
16	65	3800
17	69	3787
18	73	3790
19	77	3779
20	80	3773
21	84	3765
22	88	3769
23	93	3795
24	97	3791
25	100	3778
26	105	3784
27	108	3777
28	112	3769
29	116	3757
30	121	3785
31	125	3789
32	129	3783
33	132	3769
34	138	3811
35	141	3801
36	145	3793
37	149	3786
38	153	3782
39	157	3775
40	161	3768
41	164	3760
42	168	3757
43	172	3749
44	176	3741
45	179	3730
46	183	3726
47	187	3717
48	191	3709
49	194	3703
50	198	3701
51	202	3691
52	206	3683
53	209	3675
54	213	3674
55	217	3668
56	221	3663
57	225	3657
58	229	3666
59	233	3663
60	237	3663
61	242	3665
62	246	3667
63	250	3667
64	254	3665
65	259	3665
66	263	3667
67	267	3664
68	271	3659
69	275	3660
70	279	3662
71	283	3658
72	287	3656
73	293	3674
74	298	3677
75	303	3690
76	308	3699
77	312	3696
78	316	3692
79	320	3688
80	325	3689
81	329	3687
82	333	3683
83	337	3682
84	342	3682
85	346	3680
86	350	3676
87	354	3670
88	358	3670
89	362	3667
90	366	3662
91	370	3661
92	375	3658
93	379	3654
94	383	3650
95	390	3681
96	396	3692
97	403	3712
98	408	3721
99	414	3728
100	419	3735
101	426	3756
102	435	3792
103	439	3788
104	443	3778
105	446	3768
106	450	3760
107	454	3751
108	457	3743
109	461	3734
110	465	3727
111	469	3719
112	472	3712
113	476	3703
114	480	3695
115	484	3689
116	488	3683
117	491	3675
118	495	3669
119	499	3663
120	503	3657
121	507	3650
122	510	3642
123	514	3636
124	518	3630
125	522	3624
126	526	3616
127	530	3611
128	533	3604
129	537	3598
130	541	3591
131	545	3586
132	549	3580
133	553	3574
134	556	3567
135	560	3562
136	564	3556
137	568	3550
138	572	3545
139	576	3543
140	580	3538
141	584	3532
142	588	3528
143	593	3525
144	596	3520
145	600	3515
146	604	3508
147	611	3517
148	614	3510
149	618	3503
150	622	3497
151	626	3493
152	629	3487
153	633	3480
154	637	3473
155	641	3468
156	644	3461
157	648	3454
158	652	3448
159	655	3443
160	659	3437
161	663	3431
162	666	3424
163	670	3420
164	674	3413
165	678	3407
166	681	3401
167	685	3395
168	690	3393
169	693	3387
170	697	3383
171	704	3389
172	707	3382
173	711	3376
174	715	3373
175	720	3371
176	723	3365
177	727	3359
178	731	3354
179	735	3350
180	739	3344
181	742	3338
182	747	3336
183	751	3331
184	754	3325
185	758	3319
186	762	3314
187	766	3309
188	769	3303
189	773	3298
190	777	3292
191	781	3287
192	785	3282
193	788	3277
194	792	3271
195	796	3265
196	800	3263
197	804	3257
198	807	3251
199	811	3246
200	815	3240
201	818	3234
202	822	3229
203	826	3224
204	832	3228
205	838	3230
206	843	3230
207	847	3227
208	851	3223
209	855	3218
210	860	3217
211	864	3212
212	868	3207
213	871	3202
214	875	3197
215	879	3193
216	884	3191
217	889	3192
218	894	3189
219	898	3184
220	901	3179
221	905	3173
222	911	3176
223	915	3172
224	920	3168
225	925	3168
226	930	3169
227	934	3165
228	939	3162
229	942	3156
230	946	3151
231	950	3146
232	955	3144
233	959	3139
234	962	3134
235	967	3130
236	974	3135
237	977	3131
238	981	3126
239	985	3122
240	989	3117
241	993	3111
242	997	3106
243	1000	3100
244	1004	3096
245	1008	3091
246	1012	3085
247	1016	3081
248	1020	3077
249	1024	3073
250	1028	3069
251	1033	3066
252	1037	3061
253	1040	3057
254	1044	3052
255	1048	3047
256	1053	3044
257	1057	3042
258	1062	3038
259	1066	3035
260	1070	3031
261	1074	3026
262	1079	3025
263	1083	3021
264	1087	3017
265	1091	3013
266	1095	3008
267	1099	3004
268	1103	2999
269	1108	2995
270	1112	2991
271	1116	2987
272	1120	2983
273	1124	2980
274	1128	2975
275	1132	2971
276	1136	2967
277	1141	2965
278	1145	2961
279	1149	2956
280	1154	2953
281	1159	2952
282	1164	2950
283	1169	2948
284	1174	2947
285	1180	2947
286	1185	2944
287	1190	2942
288	1197	2945
289	1203	2945
290	1207	2942
291	1213	2941
292	1223	2951
293	1230	2953
294	1241	2967
295	1246	2964
296	1251	2962
297	1255	2958
298	1260	2954
299	1264	2951
300	1269	2949
301	1274	2945
302	1279	2943
303	1284	2941
304	1289	2938
305	1294	2934
306	1299	2933
307	1304	2931
308	1310	2929
309	1314	2926
310	1318	2921
311	1323	2917
312	1327	2913
313	1331	2909
314	1335	2905
315	1339	2900
316	1344	2896
317	1349	2893
318	1353	2889
319	1358	2885
320	1362	2882
321	1366	2878
322	1371	2874
323	1375	2870
324	1380	2866
325	1384	2862
326	1388	2858
327	1393	2855
328	1398	2851
329	1404	2850
330	1409	2848
331	1413	2844
332	1420	2845
333	1425	2842
334	1430	2839
335	1434	2834
336	1438	2830
337	1443	2826
338	1447	2822
339	1451	2818
340	1456	2814
341	1460	2810
342	1464	2805
343	1469	2802
344	1473	2798
345	1478	2794
346	1482	2790
347	1487	2786
348	1491	2781
349	1495	2777
350	1500	2773
351	1505	2770
352	1509	2766
353	1513	2761
354	1517	2757
355	1521	2753
356	1526	2748
357	1530	2744
358	1534	2740
359	1539	2736
360	1543	2731
361	1547	2727
362	1552	2724
363	1556	2720
364	1561	2716
365	1566	2713
366	1570	2709
367	1574	2704
368	1578	2699
369	1583	2695
370	1586	2690
371	1590	2685
372	1594	2680
373	1599	2676
374	1602	2671
375	1606	2666
376	1610	2661
377	1614	2657
378	1618	2652
379	1622	2647
380	1626	2643
381	1631	2638
382	1634	2633
383	1638	2628
384	1642	2623
385	1646	2619
386	1650	2614
387	1654	2610
388	1658	2605
389	1663	2601
390	1667	2597
391	1672	2593
392	1676	2588
393	1680	2584
394	1684	2579
395	1688	2574
396	1692	2570
397	1696	2565
398	1700	2560
399	1703	2555
400	1708	2551
401	1712	2547
402	1716	2542
403	1720	2538
404	1724	2534
405	1728	2529
406	1733	2525
407	1738	2521
408	1742	2518
409	1746	2513
410	1750	2509
411	1754	2504
412	1758	2499
413	1762	2495
414	1766	2490
415	1770	2485
416	1774	2481
417	1778	2476
418	1783	2472
419	1787	2468
420	1791	2463
421	1795	2459
422	1800	2455
423	1804	2451
424	1808	2446
425	1812	2441
426	1816	2437
427	1820	2432
428	1824	2428
429	1827	2423
430	1832	2418
431	1836	2414
432	1840	2410
433	1844	2405
434	1848	2400
435	1852	2396
436	1856	2391
437	1860	2386
438	1864	2382
439	1868	2378
440	1872	2374
441	1877	2370
442	1881	2365
443	1885	2361
444	1889	2356
445	1893	2352
446	1899	2349
447	1904	2347
448	1909	2343
449	1913	2339
450	1917	2334
451	1921	2329
452	1925	2325
453	1930	2321
454	1934	2316
455	1938	2312
456	1941	2307
457	1946	2303
458	1950	2299
459	1954	2294
460	1958	2289
461	1962	2285
462	1966	2280
463	1970	2276
464	1976	2273
465	1982	2272
